
1D reaction-diffusion PDE test problem:
  N = 1001
  diffusion coefficient:  k = 0.01
        t      ||u||_rms
   -------------------------
    0.000000    0.414838
    0.100000    0.416519
    0.200000    0.418196
    0.300000    0.419868
    0.400000    0.421535
    0.500000    0.423193
    0.600000    0.424844
    0.700000    0.426489
    0.800000    0.428128
    0.900000    0.429747
    1.000000    0.431358
    1.100000    0.432960
    1.200000    0.434538
    1.300000    0.436111
    1.400000    0.437667
    1.500000    0.439203
    1.600000    0.440734
    1.700000    0.442260
    1.800000    0.443781
    1.900000    0.445297
    2.000000    0.446808
    2.100000    0.448314
    2.200000    0.449815
    2.300000    0.451311
    2.400000    0.452802
    2.500000    0.454283
    2.600000    0.455734
    2.700000    0.457180
    2.799999    0.458609
    2.899999    0.460016
    2.999999    0.461418
   -------------------------

Final Slow Statistics:
Current time                 = 3.000964879989624
Steps                        = 3001
Step attempts                = 3001
Stability limited steps      = 0
Accuracy limited steps       = 0
Error test fails             = 0
NLS step fails               = 0
Inequality constraint fails  = 0
Initial step size            = 0.001000000047497451
Last step size               = 0.001000000047497451
Current step size            = 0.001000000047497451
Explicit slow RHS fn evals   = 9004
Implicit slow RHS fn evals   = 0
NLS iters                    = 0
NLS fails                    = 0
NLS iters per step           = 0
LS setups                    = 0

Final Fast Statistics:
Current time                 = 3.000964879989624
Steps                        = 146525
Step attempts                = 146525
Stability limited steps      = 0
Accuracy limited steps       = 0
Error test fails             = 0
NLS step fails               = 0
Inequality constraint fails  = 0
Initial step size            = 1.99999994947575e-05
Last step size               = 1.99999994947575e-05
Current step size            = 1.99999994947575e-05
Explicit RHS fn evals        = 439605
Implicit RHS fn evals        = 0
NLS iters                    = 0
NLS fails                    = 0
NLS iters per step           = 0
LS setups                    = 0
